all_riders,rider_class,stage,points,stage_class
Kaden Groves,Sprinter,X1,18,Flat
Kaden Groves,Sprinter,X2,18,Hills
Kaden Groves,Sprinter,X3,117,Flat
Kaden Groves,Sprinter,X4,12,Hills
Kaden Groves,Sprinter,X6,12,Hills
Kaden Groves,Sprinter,X7,0,Hills
Kaden Groves,Sprinter,X8,160,Flat
Kaden Groves,Sprinter,X9,60,Flat
Kaden Groves,Sprinter,X10,0,Hills
Kaden Groves,Sprinter,X11,52,Hills
Kaden Groves,Sprinter,X12,0,Mount
Kaden Groves,Sprinter,X14,0,Mount
Kaden Groves,Sprinter,X15,2,Hills
Kaden Groves,Sprinter,X16,0,Mount
Kaden Groves,Sprinter,X17,4,Flat
Kaden Groves,Sprinter,X18,0,Mount
Kaden Groves,Sprinter,X19,0,Mount
Kaden Groves,Sprinter,X20,244,Hills
Kaden Groves,Sprinter,X21,50,Flat
Santiago Buitrago,Climber,X1,0,Flat
Santiago Buitrago,Climber,X2,39,Hills
Santiago Buitrago,Climber,X3,7,Flat
Santiago Buitrago,Climber,X4,4,Hills
Santiago Buitrago,Climber,X6,23,Hills
Santiago Buitrago,Climber,X7,0,Hills
Santiago Buitrago,Climber,X8,0,Flat
Santiago Buitrago,Climber,X9,0,Flat
Santiago Buitrago,Climber,X10,0,Hills
Santiago Buitrago,Climber,X11,0,Hills
Santiago Buitrago,Climber,X12,0,Mount
Santiago Buitrago,Climber,X14,0,Mount
Santiago Buitrago,Climber,X15,25,Hills
Santiago Buitrago,Climber,X16,180,Mount
Santiago Buitrago,Climber,X17,0,Flat
Santiago Buitrago,Climber,X18,12,Mount
Santiago Buitrago,Climber,X19,0,Mount
Santiago Buitrago,Climber,X20,0,Hills
Santiago Buitrago,Climber,X21,2,Flat
Romain Grégoire,Unclassed,X1,4,Flat
Romain Grégoire,Unclassed,X2,148,Hills
Romain Grégoire,Unclassed,X3,8,Flat
Romain Grégoire,Unclassed,X4,124,Hills
Romain Grégoire,Unclassed,X6,2,Hills
Romain Grégoire,Unclassed,X7,37,Hills
Romain Grégoire,Unclassed,X8,2,Flat
Romain Grégoire,Unclassed,X9,2,Flat
Romain Grégoire,Unclassed,X10,2,Hills
Romain Grégoire,Unclassed,X11,34,Hills
Romain Grégoire,Unclassed,X12,0,Mount
Romain Grégoire,Unclassed,X14,0,Mount
Romain Grégoire,Unclassed,X15,0,Hills
Romain Grégoire,Unclassed,X16,0,Mount
Romain Grégoire,Unclassed,X17,0,Flat
Romain Grégoire,Unclassed,X18,0,Mount
Romain Grégoire,Unclassed,X19,0,Mount
Romain Grégoire,Unclassed,X20,148,Hills
Romain Grégoire,Unclassed,X21,0,Flat
Thymen Arensman,All Rounder,X1,0,Flat
Thymen Arensman,All Rounder,X2,0,Hills
Thymen Arensman,All Rounder,X3,0,Flat
Thymen Arensman,All Rounder,X4,0,Hills
Thymen Arensman,All Rounder,X6,0,Hills
Thymen Arensman,All Rounder,X7,0,Hills
Thymen Arensman,All Rounder,X8,0,Flat
Thymen Arensman,All Rounder,X9,0,Flat
Thymen Arensman,All Rounder,X10,204,Hills
Thymen Arensman,All Rounder,X11,2,Hills
Thymen Arensman,All Rounder,X12,0,Mount
Thymen Arensman,All Rounder,X14,292,Mount
Thymen Arensman,All Rounder,X15,11,Hills
Thymen Arensman,All Rounder,X16,61,Mount
Thymen Arensman,All Rounder,X17,13,Flat
Thymen Arensman,All Rounder,X18,67,Mount
Thymen Arensman,All Rounder,X19,263,Mount
Thymen Arensman,All Rounder,X20,13,Hills
Thymen Arensman,All Rounder,X21,13,Flat
Filippo Ganna,Unclassed,X1,0,Flat
Filippo Ganna,Unclassed,X2,0,Hills
